Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Profit Margin %
PAYMENT,3,4,-131.7,84.97,Advance shipping,0,46,Indoor/Outdoor Games,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,Europe,Munich,Alemania,2,14.99,0.15,49.98,-1.55,2,99.96,84.97,-131.7,Western Europe,Bavaria,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,-131.7527010804322
DEBIT,3,4,34.5,74.99,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,3,Footwear,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,25.0,0.25,99.99,0.46,1,99.99,74.99,34.5,Oceania,Australia del Sur,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,34.5034503450345
DEBIT,3,4,10.8,40.0,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,5,Golf,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,10.0,0.2,50.0,0.27,1,50.0,40.0,10.8,Oceania,Australia del Sur,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,21.6
DEBIT,4,4,-42.61,24.35,Shipping on time,0,13,Electronics,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,3,Footwear,18.02537537,-66.61508179,USCA,Yonkers,Estados Unidos,3,3.64,0.13,27.99,-1.75,1,27.99,24.35,-42.61,East of USA,Nueva York,COMPLETE,Under Armour Kids' Mercenary Slide,27.99,Standard Class,-152.23294033583423
DEBIT,3,4,27.41,94.5,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,5,Golf,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,5.5,0.06,50.0,0.29,2,100.0,94.5,27.41,Oceania,Australia del Sur,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,27.41
DEBIT,0,0,-140.73,191.99,Shipping on time,0,48,Water Sports,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,8.0,0.04,199.99,-0.73,1,199.99,191.99,-140.73,South America,Río de Janeiro,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Same Day,-70.3685184259213
DEBIT,0,0,11.4,189.99,Shipping on time,0,48,Water Sports,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,10.0,0.05,199.99,0.06,1,199.99,189.99,11.4,Central America,Sinaloa,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Same Day,5.700285014250713
DEBIT,0,0,46.51,98.96,Shipping on time,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,1.0,0.01,49.98,0.47,2,99.96,98.96,46.51,Central America,Sinaloa,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,46.52861144457784
DEBIT,4,4,-274.39,391.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,USCA,Yonkers,Estados Unidos,3,8.0,0.02,399.98,-0.7,1,399.98,391.98,-274.39,East of USA,Nueva York,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,-68.60093004650231
TRANSFER,4,4,83.69,269.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,30.0,0.1,299.98,0.31,1,299.98,269.98,83.69,Central America,Francisco Morazán,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,27.89852656843789
TRANSFER,4,4,108.23,263.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,36.0,0.12,299.98,0.41,1,299.98,263.98,108.23,Central America,Francisco Morazán,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,36.07907193812921
TRANSFER,4,4,11.25,90.0,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,5,Golf,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,10.0,0.1,50.0,0.13,2,100.0,90.0,11.25,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,11.25
TRANSFER,4,4,66.62,141.75,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,5,Golf,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,8.25,0.06,50.0,0.47,3,150.0,141.75,66.62,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,44.41333333333334
DEBIT,0,0,43.16,107.89,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,4,Apparel,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,22.1,0.17,129.99,0.4,1,129.99,107.89,43.16,South America,Río de Janeiro,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day,33.20255404261866
DEBIT,0,0,2.99,248.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,51.0,0.17,299.98,0.01,1,299.98,248.98,2.99,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,0.9967331155410362
DEBIT,0,0,39.36,245.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,54.0,0.18,299.98,0.16,1,299.98,245.98,39.36,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,13.120874724981665
DEBIT,0,0,117.58,235.16,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,4,Apparel,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,4.8,0.02,59.99,0.5,4,239.96,235.16,117.58,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day,48.99983330555092
DEBIT,0,0,111.73,232.76,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,4,Apparel,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,7.2,0.03,59.99,0.48,4,239.96,232.76,111.73,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day,46.561926987831306
TRANSFER,4,4,76.99,245.96,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725.0,4,Apparel,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,53.99,0.18,59.99,0.31,5,299.95,245.96,76.99,Central America,Francisco Morazán,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,25.667611268544757
DEBIT,5,4,-445.21,251.96,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,47.99,0.16,59.99,-1.77,5,299.95,251.96,-445.21,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,-148.4280713452242
CASH,3,4,17.22,49.19,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,10.8,0.18,59.99,0.35,1,59.99,49.19,17.22,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,28.704784130688445
CASH,3,4,33.25,98.38,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,21.6,0.18,59.99,0.34,2,119.98,98.38,33.25,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,27.71295215869312
CASH,3,4,-70.36,95.98,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,24.0,0.2,59.99,-0.73,2,119.98,95.98,-70.36,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,-58.64310718453075
DEBIT,2,1,-41.77,56.99,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,3.0,0.05,59.99,-0.73,1,59.99,56.99,-41.77,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,-69.6282713785631
DEBIT,2,1,48.66,143.98,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,35.99,0.2,59.99,0.34,3,179.97,143.98,48.66,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,27.037839639939985
DEBIT,2,1,59.39,134.98,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,44.99,0.25,59.99,0.44,3,179.97,134.98,59.39,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,32.99994443518364
DEBIT,2,1,26.99,119.95,Late delivery,1,40,Accessories,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,6,Outdoors,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,5.0,0.04,24.99,0.23,5,124.95,119.95,26.99,South America,Paraíba,COMPLETE,Team Golf Texas Longhorns Putter Grip,24.99,First Class,21.60064025610244
DEBIT,1,0,3.37,18.74,Late delivery,1,40,Accessories,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,6,Outdoors,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,6.25,0.25,24.99,0.18,1,24.99,18.74,3.37,Caribbean,Santiago de Cuba,COMPLETE,Team Golf St. Louis Cardinals Putter Grip,24.99,Same Day,13.485394157663066
DEBIT,1,0,23.23,70.38,Late delivery,1,29,Shop By Sport,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,5,Golf,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,9.6,0.12,39.99,0.33,2,79.98,70.38,23.23,Caribbean,Santiago de Cuba,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Same Day,29.04476119029757
DEBIT,5,4,11.88,118.78,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,4,Apparel,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,1.2,0.01,59.99,0.1,2,119.98,118.78,11.88,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,9.90165027504584
DEBIT,5,4,-21.0,84.0,Late delivery,1,24,Women's Apparel,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,5,Golf,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,16.0,0.16,50.0,-0.25,2,100.0,84.0,-21.0,West Asia,Mersin,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,-21.0
DEBIT,1,0,-119.92,139.44,Late delivery,1,46,Indoor/Outdoor Games,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,7,Fan Shop,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,10.5,0.07,49.98,-0.86,3,149.94,139.44,-119.92,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,-79.97865812991863
DEBIT,1,0,34.29,97.96,Late delivery,1,46,Indoor/Outdoor Games,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069.0,7,Fan Shop,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,2.0,0.02,49.98,0.35,2,99.96,97.96,34.29,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,34.30372148859544
PAYMENT,3,4,78.91,208.77,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,4,Apparel,18.35910416,-66.07791138,Africa,Lagos,Nigeria,5,31.19,0.13,59.99,0.38,4,239.96,208.77,78.91,West Africa,Lagos,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,32.884647441240205
TRANSFER,3,2,51.16,106.59,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,4,Apparel,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,23.4,0.18,129.99,0.48,1,129.99,106.59,51.16,US Center ,Texas,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,39.35687360566197
TRANSFER,3,2,53.55,254.98,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,45.0,0.15,299.98,0.21,1,299.98,254.98,53.55,US Center ,Texas,PROCESSING,Diamondback Women's Serene Classic Comfort Bi,299.98,Second Class,17.851190079338622
TRANSFER,3,2,47.92,145.21,Late delivery,1,11,Fitness Accessories,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,3,Footwear,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,29.74,0.17,34.99,0.33,5,174.95,145.21,47.92,US Center ,Texas,PROCESSING,Under Armour Hustle Storm Medium Duffle Bag,34.99,Second Class,27.390683052300663
TRANSFER,3,2,21.77,197.92,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,2.0,0.01,49.98,0.11,4,199.92,197.92,21.77,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,10.88935574229692
TRANSFER,3,2,27.29,90.96,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,9.0,0.09,49.98,0.3,2,99.96,90.96,27.29,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,27.300920368147256
DEBIT,4,4,29.25,97.49,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725.0,4,Apparel,18.35910416,-66.07791138,Africa,Kinshasa,República Democrática del Congo,5,32.5,0.25,129.99,0.3,1,129.99,97.49,29.25,Central Africa,Kinshasa,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,22.501730902377105
TRANSFER,6,4,75.2,160.0,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,5,Golf,40.87154007,-74.12263489,LATAM,Cancún,México,6,40.0,0.2,50.0,0.47,4,200.0,160.0,75.2,Central America,Quintana Roo,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,37.6
TRANSFER,6,4,215.98,479.95,Late delivery,1,9,Cardio Equipment,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,3,Footwear,40.87154007,-74.12263489,LATAM,Cancún,México,6,20.0,0.04,99.99,0.45,5,499.95,479.95,215.98,Central America,Quintana Roo,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,43.2003200320032
TRANSFER,6,4,56.83,195.95,Late delivery,1,29,Shop By Sport,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,5,Golf,40.87154007,-74.12263489,LATAM,Cancún,México,6,4.0,0.02,39.99,0.29,5,199.95,195.95,56.83,Central America,Quintana Roo,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,28.4221055263816
PAYMENT,6,2,25.48,91.0,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,5,Golf,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,9.0,0.09,50.0,0.28,2,100.0,91.0,25.48,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,25.480000000000004
PAYMENT,6,2,143.99,299.97,Late delivery,1,9,Cardio Equipment,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,3,Footwear,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,0.0,0.0,99.99,0.48,3,299.97,299.97,143.99,US Center ,Texas,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class,48.001466813348
PAYMENT,6,2,111.04,236.25,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,5,Golf,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,13.75,0.06,50.0,0.47,5,250.0,236.25,111.04,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,44.416
PAYMENT,3,4,19.07,116.99,Advance shipping,0,18,Men's Footwear,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,4,Apparel,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,13.0,0.1,129.99,0.16,1,129.99,116.99,19.07,Southeast Asia,Cordillera,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,14.670359258404492
PAYMENT,3,4,91.52,351.98,Advance shipping,0,45,Fishing,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,48.0,0.12,399.98,0.26,1,399.98,351.98,91.52,Southeast Asia,Cordillera,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,22.881144057202857
PAYMENT,3,4,0.0,189.99,Advance shipping,0,48,Water Sports,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,10.0,0.05,199.99,0.0,1,199.99,189.99,0.0,Southeast Asia,Cordillera,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class,0.0
TRANSFER,3,2,46.97,161.97,Late delivery,1,17,Cleats,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,4,Apparel,40.87154007,-74.12263489,LATAM,Chihuahua,México,6,18.0,0.1,59.99,0.29,3,179.97,161.97,46.97,Central America,Chihuahua,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Second Class,26.098794243485024
TRANSFER,3,2,45.35,167.96,Late delivery,1,29,Shop By Sport,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,5,Golf,40.87154007,-74.12263489,LATAM,Chihuahua,México,6,31.99,0.16,39.99,0.27,5,199.95,167.96,45.35,Central America,Chihuahua,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Second Class,22.680670167541887
PAYMENT,3,4,-63.64,82.97,Advance shipping,0,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,16.99,0.17,49.98,-0.77,2,99.96,82.97,-63.64,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,-63.6654661864746
PAYMENT,3,4,38.52,81.97,Advance shipping,0,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055.0,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,17.99,0.18,49.98,0.47,2,99.96,81.97,38.52,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,38.53541416566627
